measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Global,Both,All Ages,Malaria,Number,2017,224108354.2,285162642.3,184034279.7
Incidence,Global,Both,All Ages,Malaria,Percent,2017,0.005742228,0.007282948,0.004647929
Incidence,Global,Both,All Ages,Malaria,Rate,2017,2957.351331,3763.028481,2428.530716
Incidence,Global,Both,All Ages,Tuberculosis,Number,2018,8474049.373,9648281.293,7470104.725
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2018,0.000214204,0.000244134,0.000185848
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2018,110.6480028,125.9802732,97.53922027
Incidence,Global,Both,All Ages,Malaria,Number,2018,227717038.5,287920984.6,186107694.1
Incidence,Global,Both,All Ages,Malaria,Percent,2018,0.005756404,0.007284016,0.004651294
Incidence,Global,Both,All Ages,Malaria,Rate,2018,2973.364256,3759.463805,2430.059556
Incidence,Global,Both,All Ages,Tuberculosis,Number,2019,8497316.669,9727992.021,7445681.41
Incidence,Global,Both,All Ages,Tuberculosis,Percent,2019,0.000211481,0.000242193,0.000182343
Incidence,Global,Both,All Ages,Tuberculosis,Rate,2019,109.8204268,125.7258352,96.22895577
Incidence,Global,Both,All Ages,Malaria,Number,2019,231357372.4,290217184.8,186034444.3
Incidence,Global,Both,All Ages,Malaria,Percent,2019,0.005758336,0.007253576,0.004601525
Incidence,Global,Both,All Ages,Malaria,Rate,2019,2990.092798,3750.804675,2404.333375
Incidence,Nigeria,Both,All Ages,Malaria,Number,2010,64045849.22,79769415.65,53318690.7
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2010,0.064630322,0.080301085,0.053433517
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2010,38363.31536,47781.69524,31937.77225
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2009,313374.0349,360763.6533,272308.4264
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2009,0.000324805,0.000377576,0.000279368
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2009,193.3533303,222.5929595,168.0156467
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2010,308563.8842,354979.7726,268195.1141
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2010,0.000311561,0.000361394,0.000268133
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2010,184.8290521,212.6320617,160.6482522
Incidence,Nigeria,Both,All Ages,Malaria,Number,2009,63222735.86,79333871.88,53030921.47
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2009,0.065490838,0.081385349,0.054710575
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2009,39008.7409,48949.39156,32720.34099
Incidence,Nigeria,Both,All Ages,Malaria,Number,2011,63597363.65,78274848.27,52478993.29
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2011,0.062609388,0.077110077,0.051598772
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2011,36993.76771,45531.47157,30526.35481
Incidence,Nigeria,Both,All Ages,Tuberculosis,Number,2011,306082.7443,351767.6895,266794.7929
Incidence,Nigeria,Both,All Ages,Tuberculosis,Percent,2011,0.000301484,0.000349178,0.000259725
Incidence,Nigeria,Both,All Ages,Tuberculosis,Rate,2011,178.044392,204.6187365,155.1910964
Incidence,Nigeria,Both,All Ages,Malaria,Number,2013,58841663.75,72260712.13,47344209.31
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2013,0.055434073,0.068520485,0.044685547
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2013,32307.92851,39675.86525,25995.07275
Incidence,Nigeria,Both,All Ages,Malaria,Number,2012,61572537.64,76722352.81,50228849.8
Incidence,Nigeria,Both,All Ages,Malaria,Percent,2012,0.05927321,0.073130334,0.04844749
Incidence,Nigeria,Both,All Ages,Malaria,Rate,2012,34791.56582,43351.96972,28381.81438
